txid,ordertxid,pair,aclass,time,type,ordertype,price,cost,fee,vol,margin,misc,ledgers,posttxid,costusd,strategy,note
TKZ5IU-J7264-DKH2TV,OIUBX4-WX4HD-G3RN7W,ETH/USD,forex,50:14.6,buy,market,4273.27,53.19012,0.18617,0.01244717,0,initiated,"L7CFRU-FB5ZZ-F2LZ37,LOGPLR-6QCOT-NBWABG",TKH2SE-M7IF5-CFI7LT,53.19012,,
TW7RGR-EWMUF-GE5IAW,OLWXLC-EQV67-2FGCAD,BTC/USD,forex,50:27.0,sell,market,115633,53.19002,0.18617,0.00045999,0,initiated,"LDCJHG-XR6VZ-AT2KWX,LNVHJA-AQWXU-KBXPJ6",TKH2SE-M7IF5-CFI7LT,53.19002,,
TGADKL-TLWUQ-4F46XP,OTIO3Y-W4MQG-X5HYVP,ETH/USD,forex,50:27.7,buy,market,4274.9,53.19002,0.18617,0.0124424,0,initiated,"LE5EYR-7GFAE-2XNY7H,L74NHC-WILJJ-DHAATD",TKH2SE-M7IF5-CFI7LT,53.19002,,
TC2DXA-MRVCY-A4A5MS,OTMJ5N-5DZHY-W4VZD2,ETH/USD,forex,50:38.3,sell,market,4274.89,53.18989,0.18616,0.0124424,0,initiated,"LPOSO2-ML4BA-5OH2FI,LZBS4W-JLQ5H-2TYYWU",TKH2SE-M7IF5-CFI7LT,53.18989,,
TRZX5X-SMGXZ-XEAEDW,OAUBLJ-IGJ4L-4NLPHI,SOL/USD,forex,50:39.1,sell,market,208.53,53.18745,0.18616,0.25505898,0,initiated,"LUYJXZ-OSXGA-KUQ44Z,LVNBNH-6U3BR-4YYOL3",TKH2SE-M7IF5-CFI7LT,53.18745,,
T3O6LP-2VZYE-KMXGBS,OAMGBE-5TF5P-UE3OPM,ETH/USD,forex,50:47.8,buy,market,4274.9,53.19002,0.18617,0.0124424,0,initiated,"LMX3OQ-6TAKK-ODITXM,LTBK7C-RNZ2M-ZHFLXX",TKH2SE-M7IF5-CFI7LT,53.19002,,
THQ45D-5PKQI-Z7IN2V,OG7O4F-AYA2F-DOACX3,SOL/USD,forex,50:48.5,buy,market,208.54,53.19255,0.18617,0.25507121,0,initiated,"LF55D6-3RCOL-YHA4V7,LHJB3Y-TJQFQ-RBKYFX",TKH2SE-M7IF5-CFI7LT,53.19255,,
TWRP2H-UOEIU-2N7BO5,OOW7SU-5YUWO-UETIOW,ETH/USD,forex,51:59.9,sell,market,4276.04,53.13318,0.18597,0.01242579,0,initiated,"LI3KGR-SS3DC-2WLJUM,L4LMV2-KKT6T-KBMPH3",TKH2SE-M7IF5-CFI7LT,53.13318,,
TT35VY-KMK5Y-BNLKRG,OVD7HU-4BRMG-6EQRIY,SOL/USD,forex,52:00.6,sell,market,208.53,53.14,0.18599,0.25483144,0,initiated,"LYM2GS-NRY77-YKNUAL,LO64HH-X2OD7-KGXPKV",TKH2SE-M7IF5-CFI7LT,53.14,,
TQWSLE-LQRUG-TKHHVI,OITN5O-OX463-KHXJCL,ETH/USD,forex,52:09.4,buy,market,4276.19,53.14188,0.186,0.01242739,0,initiated,"LTMMUN-ZCL5T-HQ6JLP,LGZYNB-LHFOQ-S4PHEJ",TKH2SE-M7IF5-CFI7LT,53.14188,,
TUGCDL-V6MM4-MOK6TZ,OI52IX-3SI7E-TN3AYY,SOL/USD,forex,52:10.2,buy,market,208.54,53.14,0.18599,0.25481922,0,initiated,"L4HY7Q-64CN5-HQGAHG,LKPPVE-KXI2I-IC43WY",TKH2SE-M7IF5-CFI7LT,53.14,,
T2XIL5-EJQDI-N5MQHE,OQ3JGK-2FPOJ-VHIH4U,ETH/USD,forex,53:20.5,sell,market,4278.35,53.08919,0.18581,0.0124088,0,initiated,"LGXRSL-7R43Y-WHONY3,L62M67-NSST7-RJMNMT",TKH2SE-M7IF5-CFI7LT,53.08919,,
TWHRWF-P6XUT-F3AY7K,O6OP67-P47WI-PZGA55,SOL/USD,forex,53:21.3,sell,market,208.58,53.1,0.18585,0.25457858,0,initiated,"LPLFYE-5W3DK-XH2NAN,LTA2YJ-6TN7S-JRMM3U",TKH2SE-M7IF5-CFI7LT,53.1,,
TM3V4Y-6LNFP-76F4PG,OSSDQZ-JG7CR-APOO7A,ETH/USD,forex,53:29.9,buy,market,4279.14,53.10982,0.18588,0.01241133,0,initiated,"L4JHKP-W5VT6-MBBPYO,LSZ4XL-6KR2G-ERZCLV",TKH2SE-M7IF5-CFI7LT,53.10982,,
T2IIPP-7E27I-Z4ZLQW,OVXNNO-MBLWL-SYH7G4,SOL/USD,forex,53:30.6,buy,market,208.61,53.09237,0.18582,0.25450537,0,initiated,"LD6EOF-IQ36Q-XUWA6I,LCPUBO-GXPAJ-ANALV6",TKH2SE-M7IF5-CFI7LT,53.09237,,
THTZK7-3Z34E-5G5WC5,ORXL26-ZIQPK-RINL27,ETH/USD,forex,54:39.4,sell,market,4279.04,53.12368,0.18593,0.01241486,0,initiated,"L3JZ2K-5JQ6N-75C3EN,L7GDGY-PR7FY-6YRKMD",TKH2SE-M7IF5-CFI7LT,53.12368,,
T5DCTT-SHJLS-CFXPCI,OY6666-HPJPH-ED2SMV,SOL/USD,forex,54:40.1,sell,market,208.81,53.12746,0.18595,0.25442965,0,initiated,"LB4IOT-W3SWC-JXQRY5,LTNEF3-CKBDL-W72YIV",TKH2SE-M7IF5-CFI7LT,53.12746,,
T5TFKV-F42IS-6ESFSF,OOM7FX-AATYO-M7QQW7,ETH/USD,forex,54:48.4,buy,market,4279.11,53.13088,0.18596,0.01241634,0,initiated,"LQOQ6I-2CFGI-5BLVPI,LYV6JK-SFP6P-XWW44O",TKH2SE-M7IF5-CFI7LT,53.13088,,
